drinkid,category_name,img,title,price,description,score,alcohol,style_info,aroma_info,flavor_info,finish_info,smoothness_info,enjoy_info,pairing_info,page
1,베스트 와인,https://cdn.imweb.me/thumbnail/20211210/1a43251b9bc07.png,"[ 오크,블랙베리 ] 샤또 딸보 ( 프랑스와인 )","145,000원",거스 히딩크가 극찬한 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
2,베스트 와인,https://cdn.imweb.me/thumbnail/20211217/eeffea3c25ab3.png,"[ 장미,가죽 ] 바바 바롤로 ( 이탈리아와인 )","139,000원",대한민국 주류대상 대상 수상 와인?,,,,,,,,,"chicken, pizza, 치킨, 피자",
3,베스트 와인,https://cdn.imweb.me/thumbnail/20211217/569f9d81085a6.png,"[ 딸기,바닐라 ] 발비 소프라노 바르바레스코 ( 이탈리아와인 )","64,900원","굉장히 우아한 스타일의 레드와인, 3차향까지 다양하게 느껴볼 수 있는 와인",,,,,,,,,"chicken, pizza, 치킨, 피자",
4,베스트 와인,https://cdn.imweb.me/thumbnail/20211008/4deb920d0fa9d.png,[ 가죽 ] 꼬또 데 이마스 그랑 레제르바 ( 스페인와인 ),"49,000원",스페인 와인 최고 그랑 리제르바 등급,,,,,,,,,"chicken, pizza, 치킨, 피자",
5,베스트 와인,https://cdn.imweb.me/thumbnail/20211110/8bd0815d81e54.png,"[ 체리, 허브 ] 발레피치올라 끼안티 클라시코 ( 이탈리아와인 )","39,900원",부르고뉴 프리미엄 피노누아 같은 느낌,,,,,,,,,"chicken, pizza, 치킨, 피자",
6,베스트 와인,https://cdn.imweb.me/thumbnail/20211217/261c75bd94dab.png,"[ 크랜베리,미네랄 ] 모알라 부르고뉴 피노누아 ( 프랑스와인 )","38,900원",모알라 양조장만의 기법으로 만든 와인?,,,,,,,,,"chicken, pizza, 치킨, 피자",
7,베스트 와인,https://cdn.imweb.me/thumbnail/20211110/fc667f169d872.png,[ 자몽 ] 러시안잭 소비뇽 블랑 ( 뉴질랜드와인 ),"27,900원","신선한 허브향과 함께 열대 과일의 풍미, 미네랄의 힌트가 훌륭한 조화를 보여준다",,,,,,,,,"chicken, pizza, 치킨, 피자",
8,베스트 와인,https://cdn.imweb.me/thumbnail/20211110/5e6e469a719ba.png,"[ 들꽃, 복숭아 ] 로델리아 비앙코 ( 이탈리아와인 )","16,900원",우아한 밸런스를 지녔으며 마지막 잔까지 향기로운 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
9,베스트 와인,https://cdn.imweb.me/thumbnail/20211012/30cf5d7f82d0b.png,[ 사과 ] 티아라 플레티넘 ( 이탈리아와인 ),"9,900원",더운 여름 탄산음료처럼 가볍게!,,,,,,,,,"chicken, pizza, 치킨, 피자",
10,상받은 와인,https://cdn.imweb.me/thumbnail/20211012/4dd0a9ba1b3e8.png,[ 라즈베리 ] 부르넬로 디 몬탈치노 일 포지오네 ( 이탈리아와인 ),"85,900원",와인 콩쿠르에서 금메달 수상,,,,,,,,,"chicken, pizza, 치킨, 피자",
11,상받은 와인,https://cdn.imweb.me/thumbnail/20211110/9874d464fd819.png,[ 붉은 과일 ] 카사 로호 마초맨 ( 스페인와인 ),"52,600원",인증 받은 가성비 최고인 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
12,상받은 와인,https://cdn.imweb.me/thumbnail/20211110/cc3a8825dfe29.png,[ 초콜릿 ] 섹슈얼 초콜릿 ( 미국와인 ),"49,900원",비비노 세계 상위 탑2% 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
13,상받은 와인,https://cdn.imweb.me/thumbnail/20211008/4deb920d0fa9d.png,[ 가죽 ] 꼬또 데 이마스 그랑 레제르바 ( 스페인와인 ),"49,000원",스페인 와인 최고 그랑 리제르바 등급,,,,,,,,,"chicken, pizza, 치킨, 피자",
14,비비노4.0 이상 대중이 선택한 와인,https://cdn.imweb.me/thumbnail/20211210/8d48abf3c1319.png,[ 사과 ] 파이퍼 하이직 뀌베 브뤼 ( 프랑스와인 ),"68,900원",맛있는 산도가 잘 느껴지는 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
15,비비노4.0 이상 대중이 선택한 와인,https://cdn.imweb.me/thumbnail/20211210/bd430e2dcb1d1.png,"[ 블루베리,꽃 ] 토마시 아마로네 ( 이탈리아와인 )","66,900원",안젤리나졸리가 사랑한 이탈리아 4대와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
16,비비노4.0 이상 대중이 선택한 와인,https://cdn.imweb.me/thumbnail/20211210/0af299230ca81.png,"[ 오크,블랙베리 ] 루첸테 ( 이탈리아와인 )","62,000원","와인스팩 테이터, 제임스 서클링 모두 고득점을 받은 와인",,,,,,,,,"chicken, pizza, 치킨, 피자",
17,비비노4.0 이상 대중이 선택한 와인,https://cdn.imweb.me/thumbnail/20211210/6ad414a8129cf.png,[ 블랙베리 ] 밀라칼라 ( 칠레와인 ),"56,900원",보르도 스타일로 블렌딩된 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
18,비비노4.0 이상 대중이 선택한 와인,https://cdn.imweb.me/thumbnail/20211210/5ab535ec8e5bd.png,[ 스파이스 ] LFE 900 ( 칠레와인 ),"37,900원",칠레에서 느껴지는 프랑스의 향기,,,,,,,,,"chicken, pizza, 치킨, 피자",
19,비비노4.0 이상 대중이 선택한 와인,https://cdn.imweb.me/thumbnail/20211210/9d349c14efa0c.png,"[ 코코아,오크 ] 케이머스 ( 미국와인 )","139,000원",까베르네 소비뇽의 제왕,,,,,,,,,"chicken, pizza, 치킨, 피자",
20,가성비 추천 와인,https://cdn.imweb.me/thumbnail/20211202/b14a4a40000e6.png,[ 오크 ] 르보르 드 도작 ( 프랑스와인 ),"32,900원",보르도 메독 5등급 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
21,가성비 추천 와인,https://cdn.imweb.me/thumbnail/20211217/f7a0d5fafb11f.png,"[ 복숭아,꿀 ] 미오네토 프로세코 브뤼 ( 이탈리아와인 )","29,900원",이태리 현지 레스토랑 프로세코 판매량 1위?,,,,,,,,,"chicken, pizza, 치킨, 피자",
22,가성비 추천 와인,https://cdn.imweb.me/thumbnail/20211110/fa3ed2479d6a7.png,[ 검붉은 과실 ] 서브미션 까베르네 소비뇽 ( 미국와인 ),"25,900원",검붉은 진한 과실의 농축된 피니쉬,,,,,,,,,"chicken, pizza, 치킨, 피자",
23,가성비 추천 와인,https://cdn.imweb.me/thumbnail/20211110/fcc77511300f8.png,[ 블랙베리 ] 페레즈 크루즈 C/S 리제르바 ( 칠레와인 ),"18,900원",극강의 가성비 칠레 까베르네 쇼비뇽,,,,,,,,,"chicken, pizza, 치킨, 피자",
24,가성비 추천 와인,https://cdn.imweb.me/thumbnail/20211012/f71c9c0977ee0.png,[ 붉은 과실 ] 아르떼로 ( 스페인와인 ),"14,900원",편하게 마시기 좋은 데일리 레드와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
25,레드 와인,https://cdn.imweb.me/thumbnail/20211110/6db822d18c68d.png,[ 오크 ] 엘 피카로 ( 스페인와인 ),"24,900원",와인수령에 따라 세대로 표현함,,,,,,,,,"chicken, pizza, 치킨, 피자",
26,레드 와인,https://cdn.imweb.me/thumbnail/20211110/cc3a8825dfe29.png,[ 초콜릿 ] 섹슈얼 초콜릿 ( 미국와인 ),"49,900원",비비노 세계 상위 탑2% 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
27,레드 와인,https://cdn.imweb.me/thumbnail/20211008/f7bc2aff582ca.png,[ 블랙체리 ] 라 크라사드 블랙 까베르네 쉬라 ( 프랑스와인 ),"16,900원",와인 콩쿠르에서 금메달 수상,,,,,,,,,"chicken, pizza, 치킨, 피자",
28,레드 와인,https://cdn.imweb.me/thumbnail/20211012/adb2deeeb82ef.png,[ 푸룬 ] 로멘 뒤베르네 꼬뜨 뒤 론 비에이 비뉴  ( 프랑스와인 ),"25,900원",올드바인으로 만들어 풍부한 산도와 탄닌,,,,,,,,,"chicken, pizza, 치킨, 피자",
29,레드 와인,https://cdn.imweb.me/thumbnail/20211012/ff78d27584fa2.png,[ 토양 ] 투썩 점퍼 카우 말벡 ( 아르헨티나와인 ),"16,900원",프랑스에서 의뢰한 아르헨티나 말벡,,,,,,,,,"chicken, pizza, 치킨, 피자",
30,레드 와인,https://cdn.imweb.me/thumbnail/20211110/1d5e857cb86d6.png,[ 검은 과일 ] 타라파카 그란 레제르바 쉬라 ( 칠레와인 ),"26,900원",칠레 국가대표 와이너리,,,,,,,,,"chicken, pizza, 치킨, 피자",
31,레드 와인,https://cdn.imweb.me/thumbnail/20211110/d6b4e96757ac8.png,[ 베리류 ] 하하 피노누아 ( 뉴질랜드와인 ),"29,900원",하하 : 마오리어로 맛나는 것?,,,,,,,,,"chicken, pizza, 치킨, 피자",
32,레드 와인,https://cdn.imweb.me/thumbnail/20211012/893b91ba8e89a.png,[ 과일 ] 로델리아 로쏘 ( 이탈리아와인 ),"18,900원",아파시멘토 기법에 따라 3가지 포도 품종을 조화롭게 블렌딩하는 레드와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
33,레드 와인,https://cdn.imweb.me/thumbnail/20211012/a0520eb68014d.png,[ 라즈베리 ] 투썩 점퍼 코알라 쉬리즈 ( 호주와인 ),"16,900원",호주에서 병입해 앙증맞은 코알라 라벨,,,,,,,,,"chicken, pizza, 치킨, 피자",
